Time (s),Potential (V),Current (μA),C_O at electrode (mM),C_R at electrode (mM)
3.7200000000000024,-0.31399999999999983,89.6091654051529,7.967616235253347e-06,1.577345668848482
3.7600000000000025,-0.31199999999999983,89.12711910833089,8.603001511235492e-06,1.5773453019896573
3.8000000000000025,-0.30999999999999983,88.65273942197973,9.289509316636165e-06,1.5773449056136957
3.8400000000000025,-0.30799999999999983,88.18582231251662,1.0031267131700792e-05,1.5773444773374714
3.8800000000000026,-0.3059999999999998,87.72617098291389,1.0832736175286567e-05,1.5773440145851647
3.9200000000000026,-0.3039999999999998,87.27359551925028,1.1698738407100902e-05,1.5773435145726713
3.9600000000000026,-0.3019999999999998,86.82791255555587,1.2634485715162556e-05,1.5773429742907499
4.000000000000003,-0.2999999999999998,86.3889449556159,1.364561146533061e-05,1.577342390486806
4.040000000000003,-0.2979999999999998,85.95652151047506,1.4738204604054624e-05,1.5773417596452026
4.080000000000003,-0.2959999999999998,85.53047665050104,1.5918846520965287e-05,1.5773410779659747
4.120000000000003,-0.2939999999999998,85.11065017088816,1.719465089464088e-05,1.5773403413418248
4.160000000000003,-0.2919999999999998,84.69688696958609,1.8573306762953323e-05,1.5773395453332544
4.200000000000003,-0.2899999999999998,84.28903679668294,2.006312507892505e-05,1.5773386851416829
4.240000000000003,-0.2879999999999998,83.88695401433026,2.1673089034136208e-05,1.5773377555803927
4.280000000000003,-0.2859999999999998,83.49049736632409,2.3412908454533915e-05,1.5773367510431222
4.320000000000003,-0.2839999999999998,83.09952975653431,2.5293078598152282e-05,1.577335665470116
4.360000000000003,-0.2819999999999998,82.71391803537686,2.7324943710901523e-05,1.5773344923114307
4.400000000000003,-0.2799999999999998,82.3335327935739,2.9520765725385336e-05,1.5773332244872682
4.440000000000003,-0.2779999999999998,81.95824816247801,3.189379851883582e-05,1.5773318543451011
4.480000000000003,-0.2759999999999998,81.58794162023476,3.445836817989689e-05,1.5773303736133286
4.520000000000003,-0.2739999999999998,81.2224938031211,3.722995977034716e-05,1.5773287733511814
4.560000000000003,-0.2719999999999998,80.86178832136105,4.0225311107147045e-05,1.5773270438945741
4.600000000000003,-0.2699999999999998,80.50571157878042,4.3462514132662914e-05,1.577325174797576
4.640000000000003,-0.2679999999999998,80.15415259562948,4.6961124486811606e-05,1.5773231547691464
4.680000000000003,-0.2659999999999998,79.80700283395504,5.074227994446637e-05,1.5773209716047507
4.720000000000003,-0.2639999999999998,79.46415602483876,5.48288284350592e-05,1.5773186121124456
4.760000000000003,-0.2619999999999998,79.12550799688152,5.9245466419230766e-05,1.5773160620329816
4.800000000000003,-0.2599999999999998,78.79095650528517,6.401888845996515e-05,1.5773133059534443
4.840000000000003,-0.2579999999999998,78.46040106083741,6.917794889327024e-05,1.5773103272139095
4.8800000000000034,-0.2559999999999998,78.13374275816524,7.475383657654057e-05,1.577307107806546
4.9200000000000035,-0.2539999999999998,77.81088410252033,8.078026377169368e-05,1.5773036282665585
4.9600000000000035,-0.2519999999999998,77.49172883444561,8.729367030548116e-05,1.5772998675543095
5.0000000000000036,-0.24999999999999983,77.1761817515044,9.433344424154343e-05,1.5772958029279085
5.040000000000004,-0.24799999999999983,76.86414852640254,0.00010194216039836284,1.5772914098054946
5.080000000000004,-0.24599999999999983,76.555535520625,0.00011016583815483868,1.577286661616386
5.120000000000004,-0.24399999999999983,76.25024959279328,0.00011905422010143646,1.5772815296401923
5.160000000000004,-0.24199999999999983,75.94819790088047,0.000128661073220396,1.5772759828329184
5.200000000000004,-0.23999999999999982,75.64928769731756,0.00013904451441409314,1.5772699876390108
5.240000000000004,-0.23799999999999982,75.35342611607605,0.00015026736234711874,1.577263507788212
5.280000000000004,-0.23599999999999982,75.06051995064192,0.00016239751772583526,1.5772565040759934
5.320000000000004,-0.23399999999999982,74.77047542181991,0.00017550837431000907,1.577248934126246
5.360000000000004,-0.23199999999999982,74.48319793422328,0.00018967926313561594,1.577240752134794
5.400000000000004,-0.22999999999999982,74.19859182014527,0.0002049959326271272,1.577231908592189
5.440000000000004,-0.22799999999999981,73.91656006958671,0.00022155106749268,1.5772223499841094
5.480000000000004,-0.2259999999999998,73.63700404493576,0.00023944484952774528,1.5772120184675622
5.520000000000004,-0.2239999999999998,73.35982317886632,0.0002587855637035919,1.5772008515209421
5.560000000000004,-0.2219999999999998,73.08491465382541,0.00027969025318740043,1.5771887815658334
